Sales Person,Geography,Product,Date,Sales,Boxes
Andria Kimpton,Australia  ,70% Dark Bites,06-07-2023,"$5,135 ",594
Gigi Bohling,Australia,Spicy Special Slims,29-06-2023,"$17,838 ",115
Barr Faughny,UK   ,Raspberry Choco,25-08-2023,"$1,208 ",1436
Oby Sorrel,USA   ,Choco Coated Almonds,10-07-2023,"$5,495 ",363
Ches Bonnell,Australia  ,Fruit & Nut Bars,17-05-2023,"$15,086 ",406
Jehu Rudeforth,Canada,50% Dark Bites,26-10-2023,"$8,935 ",188
Gigi Bohling,India   ,70% Dark Bites,12-10-2023,"$2,525 ",603
Jehu Rudeforth,UK  ,Baker's Choco Chips,22-12-2023,"$1,148 ",560
Van Tuxwell,UK ,Milk Bars,14-03-2023,"$8,793 ",98
Ches Bonnell,USA ,Spicy Special Slims,27-12-2023,"$8,800 ",268
Kaine Padly,Australia   ,Mint Chip Choco,07-06-2023,"$3,256 ",74
Rafaelita Blaksland,Canada ,Organic Choco Syrup,30-11-2023,$266 ,134
Dennison Crosswaite,UK  ,Eclairs,19-10-2023,"$4,473 ",283
Madelene Upcott,USA ,70% Dark Bites,25-01-2024,"$9,225 ",251
Brien Boise,New Zealand   ,After Nines,26-12-2023,"$6,660 ",86
Curtice Advani,Australia ,Manuka Honey Choco,01-09-2023,"$14,056 ",232
Camilla Castle,India   ,Smooth Silky Salty,17-10-2023,"$10,091 ",20
Dennison Crosswaite,USA   ,Smooth Silky Salty,10-02-2023,"$3,227 ",817
Gunar Cockshoot,Australia ,Baker's Choco Chips,18-05-2023,"$5,904 ",41
Roddy Speechley,Australia   ,Manuka Honey Choco,25-12-2023,$578 ,281
Van Tuxwell,USA,Spicy Special Slims,12-02-2024,"$4,050 ",267
Barr Faughny,New Zealand ,Orange Choco,08-02-2024,"$7,137 ",89
Dotty Strutley,UK ,Fruit & Nut Bars,28-09-2023,"$2,421 ",1220
Gigi Bohling,Australia   ,Manuka Honey Choco,06-10-2023,"$6,545 ",445
Barr Faughny,UK ,Drinking Coco,26-10-2023,"$4,986 ",238
Madelene Upcott,UK   ,Eclairs,08-11-2023,"$2,270 ",333
Curtice Advani,Australia  ,50% Dark Bites,22-08-2023,"$1,814 ",135
Brien Boise,New Zealand   ,Smooth Silky Salty,14-02-2024,"$10,553 ",386
Husein Augar,New Zealand  ,Spicy Special Slims,16-10-2023,$513 ,462
Beverie Moffet,Australia  ,Caramel Stuffed Bars,14-02-2023,"$5,418 ",366
Kelci Walkden,India   ,White Choc,02-02-2024,"$2,300 ",195
Mallorie Waber,UK,Smooth Silky Salty,20-07-2023,"$5,706 ",336
Dennison Crosswaite,Canada ,Choco Coated Almonds,29-03-2023,"$1,080 ",415
Wilone O'Kielt,USA,After Nines,01-09-2023,"$6,734 ",396
Kelci Walkden,UK   ,Manuka Honey Choco,20-09-2023,"$8,015 ",274
Karlen McCaffrey,UK  ,Mint Chip Choco,17-04-2023,"$1,931 ",341
Kelci Walkden,Canada  ,After Nines,16-03-2023,"$3,816 ",385
Andria Kimpton,India ,White Choc,18-01-2024,"$6,091 ",169
Gigi Bohling,Canada   ,70% Dark Bites,14-02-2023,"$11,255 ",327
Rafaelita Blaksland,India,White Choc,27-06-2023,"$4,527 ",471
Madelene Upcott,Australia,Raspberry Choco,15-08-2023,"$5,882 ",467
Beverie Moffet,USA   ,Drinking Coco,16-05-2023,"$6,170 ",1028
Gunar Cockshoot,India  ,Peanut Butter Cubes,04-09-2023,"$7,547 ",79
Karlen McCaffrey,India  ,Peanut Butter Cubes,07-08-2023,"$6,291 ",320
Curtice Advani,UK  ,Mint Chip Choco,19-07-2023,"$3,348 ",288
Gunar Cockshoot,Canada ,Organic Choco Syrup,02-02-2023,"$7,135 ",333
Camilla Castle,Australia ,Fruit & Nut Bars,18-12-2023,"$13,493 ",634
Gunar Cockshoot,India,Orange Choco,30-08-2023,$821 ,526
Mallorie Waber,UK ,Eclairs,25-04-2023,"$3,366 ",607
Wilone O'Kielt,UK  ,Milk Bars,14-04-2023,"$4,232 ",143
Kaine Padly,Canada   ,Raspberry Choco,02-02-2023,"$6,266 ",239
Kaine Padly,New Zealand   ,70% Dark Bites,19-05-2023,"$10,325 ",378
Camilla Castle,Australia,After Nines,01-03-2023,"$3,542 ",55
Dotty Strutley,UK,85% Dark Bars,06-02-2024,"$2,781 ",331
Mallorie Waber,New Zealand ,Mint Chip Choco,25-08-2023,"$13,156 ",230
Husein Augar,USA  ,After Nines,12-02-2024,"$6,197 ",138
Gunar Cockshoot,USA,After Nines,19-01-2024,$819 ,86
Van Tuxwell,Australia ,Manuka Honey Choco,05-12-2023,"$2,135 ",3
Kelci Walkden,Australia   ,Spicy Special Slims,17-11-2023,"$7,173 ",46
Rafaelita Blaksland,Australia,50% Dark Bites,13-06-2023,"$1,874 ",83
Van Tuxwell,Australia ,99% Dark & Pure,20-07-2023,"$2,736 ",38
Marney O'Breen,USA ,Milk Bars,04-05-2023,"$1,566 ",272
Dennison Crosswaite,Canada,50% Dark Bites,30-11-2023,"$10,058 ",301
Ches Bonnell,India  ,After Nines,28-02-2024,"$7,499 ",35
Rafaelita Blaksland,India   ,Organic Choco Syrup,21-02-2024,"$4,367 ",361
Gunar Cockshoot,UK ,Orange Choco,30-01-2024,"$3,139 ",351
Andria Kimpton,New Zealand   ,Mint Chip Choco,03-11-2023,"$6,023 ",230
Kaine Padly,Canada  ,Mint Chip Choco,29-09-2023,$983 ,344
Brien Boise,New Zealand ,Spicy Special Slims,11-07-2023,"$2,923 ",5
Kelci Walkden,USA ,Smooth Silky Salty,10-07-2023,"$11,880 ",605
Karlen McCaffrey,Canada,Smooth Silky Salty,10-01-2024,"$13,498 ",513
Ches Bonnell,USA,Eclairs,06-12-2023,"$4,730 ",428
Dennison Crosswaite,India,Drinking Coco,12-06-2023,"$7,124 ",502
Roddy Speechley,Australia ,White Choc,21-11-2023,"$7,677 ",369
Mallorie Waber,India   ,Baker's Choco Chips,09-08-2023,"$9,536 ",765
Roddy Speechley,USA,Drinking Coco,09-06-2023,"$4,095 ",19
Barr Faughny,India   ,Organic Choco Syrup,10-10-2023,"$6,624 ",143
Karlen McCaffrey,Australia   ,Organic Choco Syrup,21-02-2024,"$9,630 ",25
Marney O'Breen,New Zealand ,Fruit & Nut Bars,06-02-2024,"$7,306 ",26
Rafaelita Blaksland,USA   ,White Choc,03-08-2023,"$11,093 ",183
Rafaelita Blaksland,UK,Spicy Special Slims,26-01-2024,"$15,255 ",542
Oby Sorrel,India ,Almond Choco,18-12-2023,"$12,519 ",492
Gigi Bohling,UK ,Mint Chip Choco,30-08-2023,"$1,577 ",160
Jehu Rudeforth,Canada,Eclairs,12-09-2023,"$5,243 ",1170
Camilla Castle,Canada  ,Organic Choco Syrup,12-10-2023,"$9,140 ",548
Karlen McCaffrey,New Zealand   ,White Choc,15-12-2023,"$2,824 ",93
Van Tuxwell,USA   ,Raspberry Choco,02-05-2023,"$16,547 ",271
Curtice Advani,New Zealand   ,Manuka Honey Choco,21-03-2023,"$18,743 ",420
Madelene Upcott,Australia,70% Dark Bites,20-07-2023,"$3,332 ",546
Brien Boise,UK   ,Raspberry Choco,09-06-2023,"$11,468 ",322
Rafaelita Blaksland,New Zealand ,Fruit & Nut Bars,01-09-2023,"$9,259 ",3
Jehu Rudeforth,India,Choco Coated Almonds,09-08-2023,"$4,275 ",227
Van Tuxwell,India   ,85% Dark Bars,04-07-2023,"$9,952 ",73
Beverie Moffet,New Zealand,Milk Bars,26-04-2023,$9 ,206
Mallorie Waber,UK ,Caramel Stuffed Bars,24-01-2024,"$2,534 ",879
Wilone O'Kielt,India ,Orange Choco,17-05-2023,"$5,222 ",461
Jehu Rudeforth,USA ,Fruit & Nut Bars,06-06-2023,"$1,481 ",194
Oby Sorrel,Canada  ,Spicy Special Slims,07-08-2023,"$4,133 ",382
Husein Augar,UK ,Drinking Coco,19-04-2023,"$6,230 ",14
Marney O'Breen,New Zealand ,Organic Choco Syrup,07-09-2023,"$10,375 ",450
Dennison Crosswaite,USA ,Fruit & Nut Bars,13-09-2023,"$14,378 ",215
Rafaelita Blaksland,New Zealand ,Organic Choco Syrup,12-04-2023,"$15,946 ",293
Oby Sorrel,India  ,50% Dark Bites,13-11-2023,"$4,772 ",33
Marney O'Breen,India  ,Raspberry Choco,01-03-2023,"$1,877 ",680
Gigi Bohling,India  ,Manuka Honey Choco,23-05-2023,"$6,833 ",146
Dotty Strutley,USA  ,Raspberry Choco,22-08-2023,"$6,653 ",739
Beverie Moffet,Canada   ,Orange Choco,12-06-2023,"$6,320 ",963
Jehu Rudeforth,Australia,50% Dark Bites,05-02-2024,"$3,686 ",10
Dotty Strutley,USA ,After Nines,22-01-2024,"$3,317 ",743
Jehu Rudeforth,Australia  ,Mint Chip Choco,08-11-2023,"$3,578 ",273
Mallorie Waber,Australia  ,Eclairs,03-11-2023,"$5,663 ",108
Dennison Crosswaite,India   ,50% Dark Bites,02-01-2024,"$6,314 ",159
Ches Bonnell,New Zealand ,Almond Choco,21-07-2023,"$4,840 ",217
Beverie Moffet,India ,Manuka Honey Choco,22-12-2023,"$3,231 ",305
Dotty Strutley,New Zealand ,Smooth Silky Salty,21-12-2023,"$5,171 ",56
Wilone O'Kielt,USA   ,Raspberry Choco,10-04-2023,"$3,011 ",273
Ches Bonnell,India   ,Drinking Coco,08-11-2023,"$5,254 ",715
Karlen McCaffrey,India   ,Milk Bars,01-05-2023,"$5,090 ",51
Jehu Rudeforth,New Zealand ,Almond Choco,26-07-2023,"$2,075 ",92
Jehu Rudeforth,India ,Almond Choco,28-02-2023,"$6,795 ",532
Kelci Walkden,USA ,Peanut Butter Cubes,23-02-2024,"$13,635 ",3
Dennison Crosswaite,Australia ,70% Dark Bites,05-02-2024,"$2,347 ",654
Andria Kimpton,UK,Organic Choco Syrup,21-04-2023,"$3,177 ",59
Roddy Speechley,Canada  ,White Choc,16-05-2023,"$3,555 ",73
Camilla Castle,USA,Peanut Butter Cubes,28-02-2023,"$9,747 ",48
Gunar Cockshoot,Australia  ,Organic Choco Syrup,11-09-2023,"$6,374 ",368
Madelene Upcott,India   ,Fruit & Nut Bars,05-12-2023,"$1,262 ",922
Madelene Upcott,Australia  ,Baker's Choco Chips,30-10-2023,"$5,362 ",636
Karlen McCaffrey,India ,Organic Choco Syrup,30-11-2023,"$11,788 ",128
Dennison Crosswaite,New Zealand  ,Manuka Honey Choco,14-07-2023,"$2,801 ",122
Gunar Cockshoot,India  ,Eclairs,01-06-2023,"$7,045 ",930
Andria Kimpton,New Zealand   ,After Nines,25-08-2023,"$4,392 ",200
Andria Kimpton,UK   ,99% Dark & Pure,20-02-2024,"$6,170 ",196
Roddy Speechley,Canada  ,Smooth Silky Salty,21-02-2024,"$9,911 ",488
Kelci Walkden,New Zealand,Peanut Butter Cubes,23-01-2024,$50 ,403
Kelci Walkden,India ,70% Dark Bites,12-07-2023,$117 ,540
Mallorie Waber,India,Fruit & Nut Bars,24-02-2023,"$9,434 ",7
Jan Morforth,Canada   ,99% Dark & Pure,15-02-2023,"$5,830 ",131
Gunar Cockshoot,USA   ,Caramel Stuffed Bars,09-11-2023,"$10,233 ",704
Roddy Speechley,Canada  ,Eclairs,02-02-2023,"$3,569 ",390
Andria Kimpton,Canada,50% Dark Bites,25-08-2023,"$5,999 ",208
Beverie Moffet,UK,Raspberry Choco,10-01-2024,"$3,150 ",441
Gigi Bohling,USA,Choco Coated Almonds,13-04-2023,"$4,993 ",380
Van Tuxwell,New Zealand,Raspberry Choco,21-12-2023,"$9,711 ",313
Barr Faughny,Canada ,Eclairs,10-08-2023,"$3,627 ",1591
Ches Bonnell,New Zealand   ,Peanut Butter Cubes,19-02-2024,"$11,405 ",73
Andria Kimpton,India   ,Peanut Butter Cubes,09-02-2023,"$10,267 ",105
Jehu Rudeforth,UK ,Eclairs,14-09-2023,"$3,479 ",19
Gigi Bohling,UK   ,Manuka Honey Choco,14-12-2023,"$7,603 ",90
Rafaelita Blaksland,Canada   ,Baker's Choco Chips,25-04-2023,"$1,872 ",32
Gigi Bohling,India ,Spicy Special Slims,27-07-2023,"$6,509 ",161
Dennison Crosswaite,USA  ,Milk Bars,13-07-2023,"$3,114 ",111
Van Tuxwell,Canada,White Choc,01-08-2023,"$6,248 ",697
Karlen McCaffrey,Australia,Spicy Special Slims,10-03-2023,"$3,879 ",95
Dotty Strutley,UK  ,70% Dark Bites,06-07-2023,"$7,830 ",165
Mallorie Waber,India ,70% Dark Bites,09-05-2023,"$7,560 ",467
Jan Morforth,Canada   ,70% Dark Bites,17-05-2023,"$3,708 ",188
Wilone O'Kielt,UK ,Mint Chip Choco,22-01-2024,"$2,981 ",475
Roddy Speechley,USA   ,Peanut Butter Cubes,06-03-2023,"$7,983 ",197
Andria Kimpton,Australia  ,Organic Choco Syrup,08-09-2023,$275 ,457
Oby Sorrel,USA  ,Raspberry Choco,15-09-2023,$189 ,147
Mallorie Waber,New Zealand ,Manuka Honey Choco,25-09-2023,"$4,277 ",546
Husein Augar,Canada,Drinking Coco,15-12-2023,"$6,107 ",1173
Andria Kimpton,UK  ,Raspberry Choco,28-02-2023,"$1,393 ",393
Beverie Moffet,Australia  ,Manuka Honey Choco,23-02-2024,"$2,763 ",222
Beverie Moffet,Canada ,Peanut Butter Cubes,22-02-2023,"$9,437 ",63
Gunar Cockshoot,UK  ,Choco Coated Almonds,31-03-2023,"$2,252 ",225
Karlen McCaffrey,UK  ,Caramel Stuffed Bars,16-05-2023,"$3,978 ",597
Kaine Padly,Australia   ,Smooth Silky Salty,22-05-2023,"$1,449 ",304
Brien Boise,USA ,Orange Choco,16-05-2023,"$11,516 ",719
Gunar Cockshoot,UK  ,Organic Choco Syrup,20-11-2023,"$9,943 ",582
Jehu Rudeforth,Canada   ,Choco Coated Almonds,29-12-2023,"$10,019 ",352
Andria Kimpton,USA  ,50% Dark Bites,27-09-2023,$761 ,154
Mallorie Waber,Australia   ,Milk Bars,21-09-2023,"$6,377 ",658
Husein Augar,USA  ,Peanut Butter Cubes,08-02-2023,"$4,122 ",284
Beverie Moffet,India ,White Choc,24-04-2023,"$10,114 ",276
Madelene Upcott,New Zealand ,Manuka Honey Choco,23-03-2023,"$2,432 ",117
Ches Bonnell,New Zealand ,Choco Coated Almonds,27-04-2023,"$1,044 ",294
Curtice Advani,UK   ,Baker's Choco Chips,01-09-2023,"$2,232 ",866
Brien Boise,India ,Manuka Honey Choco,15-03-2023,"$5,231 ",256
Marney O'Breen,New Zealand  ,Milk Bars,02-03-2023,"$1,148 ",349
Gigi Bohling,USA ,Orange Choco,18-05-2023,"$4,824 ",415
Ches Bonnell,USA  ,Fruit & Nut Bars,03-02-2023,$497 ,653
Rafaelita Blaksland,Canada ,Fruit & Nut Bars,11-08-2023,$671 ,146
Dotty Strutley,Australia   ,Organic Choco Syrup,30-06-2023,"$7,695 ",498
Jehu Rudeforth,UK,Almond Choco,27-04-2023,"$2,876 ",139
Jan Morforth,USA,85% Dark Bars,02-01-2024,"$2,642 ",433
Rafaelita Blaksland,UK   ,Fruit & Nut Bars,03-11-2023,"$6,296 ",195
Brien Boise,Australia ,Mint Chip Choco,23-01-2024,"$4,145 ",135
Dennison Crosswaite,India  ,85% Dark Bars,16-10-2023,"$1,071 ",285
Jehu Rudeforth,USA ,Choco Coated Almonds,09-11-2023,"$2,549 ",196
Kaine Padly,India,Eclairs,25-01-2024,$288 ,864
Dennison Crosswaite,Canada ,Eclairs,28-04-2023,$965 ,477
Rafaelita Blaksland,New Zealand  ,After Nines,22-03-2023,"$9,923 ",41
Rafaelita Blaksland,UK   ,Peanut Butter Cubes,21-12-2023,"$3,638 ",503
Mallorie Waber,Canada ,Peanut Butter Cubes,25-08-2023,"$8,370 ",84
Jan Morforth,India ,Fruit & Nut Bars,14-09-2023,"$11,187 ",571
Barr Faughny,New Zealand ,Milk Bars,16-08-2023,"$10,845 ",418
Roddy Speechley,New Zealand  ,85% Dark Bars,19-01-2024,"$1,274 ",438
Karlen McCaffrey,New Zealand  ,Drinking Coco,17-01-2024,"$4,743 ",600
Dotty Strutley,Canada   ,99% Dark & Pure,22-12-2023,"$12,114 ",77
Camilla Castle,New Zealand,70% Dark Bites,07-04-2023,"$6,845 ",123
Beverie Moffet,UK,Spicy Special Slims,05-10-2023,"$1,870 ",149
Marney O'Breen,India,Milk Bars,19-10-2023,"$2,171 ",159
Roddy Speechley,Canada ,85% Dark Bars,16-02-2024,"$6,518 ",112
Jehu Rudeforth,UK   ,85% Dark Bars,31-01-2024,"$11,952 ",153
Barr Faughny,UK  ,White Choc,27-04-2023,$77 ,613
Kelci Walkden,USA ,50% Dark Bites,09-08-2023,"$4,311 ",153
Gunar Cockshoot,UK   ,Mint Chip Choco,06-12-2023,"$7,866 ",91
Roddy Speechley,UK   ,Manuka Honey Choco,23-08-2023,"$14,778 ",157
Dotty Strutley,New Zealand   ,85% Dark Bars,25-01-2024,"$8,962 ",70
Camilla Castle,New Zealand,Baker's Choco Chips,12-04-2023,"$1,629 ",106
Van Tuxwell,India   ,70% Dark Bites,14-02-2024,"$1,719 ",53
Rafaelita Blaksland,Australia ,Almond Choco,15-03-2023,"$1,931 ",112
Beverie Moffet,USA  ,Peanut Butter Cubes,11-10-2023,"$5,713 ",244
Oby Sorrel,UK   ,Drinking Coco,14-11-2023,"$5,643 ",265
Curtice Advani,Australia  ,85% Dark Bars,19-01-2024,"$6,680 ",761
Madelene Upcott,USA,After Nines,20-03-2023,"$2,228 ",233
Van Tuxwell,New Zealand,White Choc,10-10-2023,"$6,536 ",1126
Curtice Advani,UK  ,99% Dark & Pure,01-08-2023,"$6,518 ",444
Barr Faughny,India,Milk Bars,14-02-2023,"$8,629 ",94
Brien Boise,Australia  ,Almond Choco,09-10-2023,$950 ,123
Gigi Bohling,New Zealand   ,Milk Bars,02-10-2023,"$1,582 ",481
Kaine Padly,UK ,White Choc,22-02-2024,"$1,190 ",1
Husein Augar,Australia   ,85% Dark Bars,22-11-2023,"$6,246 ",345
Gigi Bohling,UK,85% Dark Bars,11-12-2023,"$7,866 ",67
Gigi Bohling,India  ,Caramel Stuffed Bars,18-09-2023,"$4,986 ",621
Oby Sorrel,USA,Fruit & Nut Bars,26-05-2023,"$5,051 ",1507
Madelene Upcott,Canada   ,Almond Choco,03-01-2024,$554 ,162
Brien Boise,India,Smooth Silky Salty,14-03-2023,$909 ,132
Barr Faughny,Australia  ,Smooth Silky Salty,09-06-2023,"$12,503 ",245
Roddy Speechley,India  ,Milk Bars,08-06-2023,"$2,403 ",25
Dennison Crosswaite,UK,White Choc,14-02-2024,"$6,145 ",130
Barr Faughny,New Zealand  ,Manuka Honey Choco,05-10-2023,"$4,106 ",212
Jehu Rudeforth,Canada   ,Mint Chip Choco,25-12-2023,"$6,752 ",18
Rafaelita Blaksland,Australia,Fruit & Nut Bars,16-05-2023,"$6,410 ",525
Curtice Advani,UK  ,White Choc,25-07-2023,"$3,569 ",231
Dennison Crosswaite,India,Eclairs,22-09-2023,"$1,103 ",552
Ches Bonnell,New Zealand  ,Eclairs,14-07-2023,"$7,184 ",96
Brien Boise,Canada ,Smooth Silky Salty,21-07-2023,"$6,359 ",376
Gunar Cockshoot,Canada ,White Choc,21-12-2023,"$8,523 ",299
Brien Boise,Australia  ,Orange Choco,10-04-2023,"$3,440 ",514
Wilone O'Kielt,Canada ,Drinking Coco,24-04-2023,"$5,877 ",490
Marney O'Breen,India  ,Spicy Special Slims,14-03-2023,"$3,080 ",187
Mallorie Waber,New Zealand   ,Eclairs,27-06-2023,"$2,057 ",172
Curtice Advani,Australia  ,Milk Bars,08-12-2023,"$1,719 ",483
Gunar Cockshoot,Australia,Milk Bars,02-06-2023,"$2,268 ",21
Ches Bonnell,Canada ,Drinking Coco,27-06-2023,"$6,584 ",433
Van Tuxwell,New Zealand  ,Caramel Stuffed Bars,01-05-2023,"$1,611 ",930
Rafaelita Blaksland,USA   ,After Nines,04-07-2023,$808 ,214
Camilla Castle,Canada ,Milk Bars,12-02-2024,"$9,486 ",2
Van Tuxwell,UK,White Choc,25-08-2023,"$2,014 ",340
Oby Sorrel,India  ,Organic Choco Syrup,18-08-2023,"$1,373 ",35
Dotty Strutley,India,70% Dark Bites,16-01-2024,$594 ,151
Roddy Speechley,Canada   ,Orange Choco,20-02-2023,"$11,122 ",133
Jan Morforth,USA  ,70% Dark Bites,23-11-2023,"$2,939 ",153
Oby Sorrel,UK  ,Baker's Choco Chips,13-02-2024,"$3,112 ",805
Mallorie Waber,UK  ,Baker's Choco Chips,24-03-2023,"$5,900 ",76
Curtice Advani,Australia ,Orange Choco,19-04-2023,"$2,610 ",291
Kelci Walkden,UK  ,Orange Choco,21-06-2023,"$6,595 ",556
Rafaelita Blaksland,Australia ,Smooth Silky Salty,14-11-2023,"$10,139 ",675
Mallorie Waber,Canada  ,Choco Coated Almonds,10-08-2023,"$4,021 ",151
Dennison Crosswaite,UK,Fruit & Nut Bars,16-02-2024,"$3,996 ",798
Ches Bonnell,UK,Caramel Stuffed Bars,01-01-2024,"$3,089 ",1269
Dotty Strutley,UK   ,Peanut Butter Cubes,08-02-2023,"$6,676 ",88
Marney O'Breen,India  ,Caramel Stuffed Bars,02-02-2024,"$5,915 ",3
Kaine Padly,USA ,Spicy Special Slims,09-05-2023,"$6,030 ",29
Jehu Rudeforth,New Zealand  ,Raspberry Choco,14-12-2023,"$14,837 ",167
Husein Augar,USA ,Baker's Choco Chips,20-10-2023,"$3,389 ",645
Marney O'Breen,UK,Mint Chip Choco,23-03-2023,"$5,184 ",997
Dennison Crosswaite,USA  ,Manuka Honey Choco,30-08-2023,"$3,746 ",138
Jan Morforth,India   ,White Choc,20-09-2023,"$1,355 ",110
Beverie Moffet,New Zealand,White Choc,22-12-2023,"$5,767 ",332
Rafaelita Blaksland,UK ,70% Dark Bites,01-06-2023,"$10,208 ",392
Brien Boise,Canada ,Spicy Special Slims,02-02-2024,"$1,514 ",413
Beverie Moffet,Canada,Manuka Honey Choco,15-06-2023,"$5,398 ",414
Brien Boise,India ,Orange Choco,15-08-2023,"$7,461 ",64
Madelene Upcott,USA ,Organic Choco Syrup,01-09-2023,"$9,257 ",333
Brien Boise,UK ,Spicy Special Slims,11-09-2023,"$14,357 ",80
Kaine Padly,India  ,Milk Bars,16-02-2024,$628 ,201
Mallorie Waber,New Zealand  ,White Choc,01-03-2023,"$12,906 ",80
Kelci Walkden,Australia,Drinking Coco,05-12-2023,"$5,636 ",984
Karlen McCaffrey,UK  ,85% Dark Bars,03-07-2023,"$3,940 ",106
Gigi Bohling,India ,Raspberry Choco,19-12-2023,"$9,378 ",505
Jan Morforth,USA ,White Choc,21-12-2023,"$8,915 ",756
Brien Boise,New Zealand ,Mint Chip Choco,24-07-2023,"$6,370 ",171
Madelene Upcott,UK  ,Choco Coated Almonds,11-01-2024,"$5,310 ",259
Curtice Advani,USA   ,Almond Choco,09-05-2023,$430 ,830
Camilla Castle,UK ,Peanut Butter Cubes,27-03-2023,"$6,473 ",115
Karlen McCaffrey,UK  ,Manuka Honey Choco,09-02-2023,$529 ,428
Marney O'Breen,UK   ,Manuka Honey Choco,05-02-2024,"$3,344 ",122
Jehu Rudeforth,New Zealand  ,Smooth Silky Salty,29-02-2024,"$10,553 ",168
Andria Kimpton,USA,After Nines,01-11-2023,"$2,628 ",6
Mallorie Waber,New Zealand   ,Fruit & Nut Bars,17-04-2023,"$4,012 ",398
Andria Kimpton,India  ,Organic Choco Syrup,02-01-2024,"$10,548 ",736
Rafaelita Blaksland,USA  ,Fruit & Nut Bars,10-01-2024,"$1,492 ",466
Beverie Moffet,UK ,Drinking Coco,10-10-2023,"$5,618 ",288
Marney O'Breen,India  ,Manuka Honey Choco,27-10-2023,"$1,690 ",17
Barr Faughny,UK   ,Caramel Stuffed Bars,07-08-2023,$718 ,1514
Mallorie Waber,Canada   ,Orange Choco,25-09-2023,"$7,097 ",222
Husein Augar,Canada   ,Eclairs,29-01-2024,"$8,683 ",18
Rafaelita Blaksland,Australia,70% Dark Bites,02-02-2024,"$3,994 ",196
Camilla Castle,Australia   ,Organic Choco Syrup,18-12-2023,"$11,066 ",75
Beverie Moffet,UK,Fruit & Nut Bars,21-07-2023,$905 ,473
Roddy Speechley,Canada ,Manuka Honey Choco,06-11-2023,$272 ,160
Beverie Moffet,UK,Caramel Stuffed Bars,13-10-2023,"$1,357 ",678
Husein Augar,UK,After Nines,03-01-2024,"$13,230 ",508
Husein Augar,UK,Mint Chip Choco,08-12-2023,$770 ,35
Rafaelita Blaksland,Australia ,Orange Choco,16-05-2023,"$5,272 ",125
Beverie Moffet,New Zealand,Peanut Butter Cubes,25-07-2023,"$7,106 ",26
Curtice Advani,Canada ,50% Dark Bites,16-02-2024,"$9,806 ",175
Dotty Strutley,USA ,Manuka Honey Choco,30-08-2023,"$2,556 ",386
Gigi Bohling,UK  ,Raspberry Choco,21-04-2023,$434 ,284
Barr Faughny,USA,85% Dark Bars,12-01-2024,$421 ,816
Madelene Upcott,USA,Choco Coated Almonds,13-02-2024,"$4,480 ",534
Jan Morforth,Canada,After Nines,28-04-2023,"$8,163 ",9
Madelene Upcott,Australia   ,Mint Chip Choco,06-06-2023,"$4,669 ",162
Beverie Moffet,USA  ,Organic Choco Syrup,24-04-2023,"$3,733 ",535
Marney O'Breen,USA,Almond Choco,25-08-2023,"$5,902 ",296
Husein Augar,UK   ,Almond Choco,21-07-2023,"$19,706 ",271
Roddy Speechley,New Zealand ,Milk Bars,08-03-2023,"$2,707 ",2
Marney O'Breen,India  ,After Nines,29-09-2023,"$7,576 ",142
Mallorie Waber,UK   ,Spicy Special Slims,03-02-2023,"$7,013 ",141
Jan Morforth,Australia  ,Milk Bars,16-10-2023,"$13,664 ",332
Rafaelita Blaksland,USA   ,Almond Choco,03-01-2024,"$6,615 ",394
Dotty Strutley,USA  ,Eclairs,27-06-2023,"$1,019 ",1279
Brien Boise,Australia ,Eclairs,01-05-2023,"$2,774 ",195
Jehu Rudeforth,Australia  ,Organic Choco Syrup,01-09-2023,"$6,698 ",316
Dennison Crosswaite,Canada,Drinking Coco,13-09-2023,"$4,867 ",307
Ches Bonnell,Australia ,Eclairs,04-12-2023,"$3,386 ",707
Husein Augar,Canada   ,After Nines,16-06-2023,"$6,498 ",131
Husein Augar,USA   ,Almond Choco,13-03-2023,"$5,258 ",314
Gunar Cockshoot,New Zealand  ,50% Dark Bites,12-01-2024,"$5,976 ",166
Rafaelita Blaksland,USA,Milk Bars,07-06-2023,"$13,772 ",1
Andria Kimpton,New Zealand   ,White Choc,15-08-2023,"$2,374 ",381
Oby Sorrel,New Zealand ,Eclairs,22-02-2023,"$5,636 ",300
Dotty Strutley,Canada   ,Orange Choco,11-07-2023,"$7,333 ",759
Camilla Castle,USA  ,Spicy Special Slims,12-10-2023,"$4,410 ",114
Gigi Bohling,USA ,Almond Choco,09-10-2023,"$15,644 ",602
Jan Morforth,UK,Manuka Honey Choco,16-05-2023,"$18,790 ",105
Andria Kimpton,New Zealand   ,Almond Choco,23-10-2023,"$5,954 ",403
Kaine Padly,UK ,70% Dark Bites,01-09-2023,$466 ,503
Brien Boise,India,Organic Choco Syrup,11-09-2023,"$10,982 ",8
Andria Kimpton,India,Orange Choco,16-02-2024,"$13,694 ",401
Van Tuxwell,Canada  ,50% Dark Bites,22-01-2024,"$3,407 ",143
Kelci Walkden,UK   ,70% Dark Bites,03-01-2024,"$8,116 ",77
Kelci Walkden,India  ,After Nines,15-08-2023,"$14,965 ",423
Camilla Castle,UK   ,Almond Choco,23-05-2023,"$12,209 ",47
Brien Boise,Canada  ,70% Dark Bites,06-11-2023,"$9,959 ",853
Camilla Castle,India  ,White Choc,30-10-2023,"$3,888 ",515
